1
175
169
125,126,127,142,156,174,176
45,114,115,162,166,173
172
94,120,121,123,124
47,116,117,122,128,129,130
119
168,170,171
106,153
161
139,144,145,146,160
113,143,149,150
167
159
54,140,141
147,148
165
152,153
69,70
131,132,133,134,135,136,154,155,157,158
22,23,24,25
9,26,27,28,37,57,58
21,29,38,39,59,60
2,5,6,7
30,31
82,92,93,102,103
10,11,20,51,61,62,63,64,78,80,81,83,84,85,86
151,152,163
79,109,110
104,105,107,108,111,112
32,40,41,42,48,65,66
95,96,97,98,99,100,101
118,137,138
16,33,34,46,49,50,55,56
17,18,19
71,72,73,74,75,76,77
87,88,89,90,91
35,43,44
8,36,67,68
12,13,14,15
3,4
