1001,232,,,,,,,,
1002,148,,,,,,,,
1003,176,193,,,,,,,
1004,200,199,,,,,,,
1005,206,230,,,,,,,
1006,175,174,110,227,226,223,,,
1007,56,57,233,,,,,,
1008,151,201,190,,,,,,
1009,22,23,18,19,12,,,,
1010,60,,,,,,,,
1011,68,,,,,,,,
1012,72,,,,,,,,
1013,71,73,,,,,,,
1014,63,59,,,,,,,
1015,38,39,,,,,,,
1016,65,64,,,,,,,
1017,61,,,,,,,,
1018,58,,,,,,,,
1019,47,51,62,,,,,,
1020,43,109,101,,,,,,
1021,108,,,,,,,,
1022,102,,,,,,,,
1023,98,52,44,,,,,,
1024,105,99,96,,,,,,
1025,54,53,,,,,,,
1026,40,42,,,,,,,
1027,27,45,,,,,,,
1028,41,,,,,,,,
1029,46,,,,,,,,
1030,50,49,48,,,,,,
1031,28,,,,,,,,
1032,228,210,209,,,,,,
1033,224,180,181,,,,,,
1034,134,135,,,,,,,
1035,177,,,,,,,,
1036,118,,,,,,,,
1037,80,79,81,,,,,,
1038,111,173,187,186,182,184,,,
1039,194,,,,,,,,
1040,195,189,183,178,,,,,
1041,222,205,,,,,,,
1042,150,144,145,133,104,103,100,,
1043,157,156,203,83,82,77,120,121,122
1044,119,128,129,131,130,125,97,,
1045,221,,,,,,,,
1046,225,,,,,,,,
1047,114,115,,,,,,,
1048,7,8,17,16,15,10,11,9,
1049,167,,,,,,,,
1050,170,,,,,,,,
1051,168,,,,,,,,
1052,171,169,,,,,,,
1053,166,,,,,,,,
1054,155,,,,,,,,
1055,159,,,,,,,,
1056,160,,,,,,,,
1057,29,94,93,,,,,,
1058,70,69,55,26,,,,,
1059,66,67,,,,,,,
1060,146,147,163,,,,,,
1061,165,,,,,,,,
1062,164,,,,,,,,
1063,161,,,,,,,,
1064,117,,,,,,,,
1065,162,,,,,,,,
1066,215,,,,,,,,
1067,202,,,,,,,,
1068,192,,,,,,,,
1069,204,,,,,,,,
1070,152,231,,,,,,,
1071,158,188,198,197,,,,,
1072,217,,,,,,,,
1073,216,219,154,,,,,,
1074,220,218,,,,,,,
1075,229,,,,,,,,
1076,207,,,,,,,,
1077,208,,,,,,,,
1078,211,,,,,,,,
1079,212,,,,,,,,
1080,107,179,185,196,,,,,
1081,91,90,87,92,86,75,76,74,
1082,78,153,172,,,,,,
1083,214,213,,,,,,,
1084,191,,,,,,,,
1085,116,,,,,,,,
1086,113,95,,,,,,,
1087,149,,,,,,,,
1088,143,142,136,,,,,,
1089,137,,,,,,,,
1090,140,,,,,,,,
1091,141,,,,,,,,
1092,126,127,138,132,123,124,139,,
1093,106,,,,,,,,
1094,88,,,,,,,,
1095,84,85,89,,,,,,
1096,31,30,34,36,35,,,,
1097,3,6,5,0,2,37,,,
1098,1,20,24,25,13,14,4,,
1099,21,,,,,,,,
1100,33,32,112,,,,,,
